name,category,location,hours,description
Counseling Center,Wellness,Medical Center,Mon-Fri 9-5,Confidential counseling services
IT Help Desk,Technology,Administration,Mon-Sat 9-6,Support for accounts and Wi-Fi
Writing Center,Academics,Main Library,Mon-Fri 10-6,Help with writing and citations
Career Services,Career,Business School,Mon-Fri 9-5,Resume reviews and job search
Financial Aid,Admin,Administration,Mon-Fri 9-4,Scholarships and aid guidance
International Office,Admin,Administration,Mon-Fri 9-5,Support for international students
Makerspace,Innovation,Engineering Complex,Daily 10-20,Tools and prototyping



